,Steps,ACC,method
948,4780,0.64,direct
949,4780,0.67,direct
950,4800,0.62,direct
951,4800,0.55,direct
952,4800,0.61,direct
953,4800,0.62,direct
954,4800,0.62,direct
955,4820,0.62,direct
956,4820,0.66,direct
957,4820,0.66,direct
958,4820,0.66,direct
959,4820,0.6,direct
960,4840,0.54,direct
961,4840,0.64,direct
962,4840,0.63,direct
963,4840,0.57,direct
964,4840,0.64,direct
965,4860,0.59,direct
966,4860,0.65,direct
967,4860,0.61,direct
968,4860,0.66,direct
969,4860,0.6,direct
970,4880,0.65,direct
971,4880,0.61,direct
972,4880,0.67,direct
973,4880,0.66,direct
974,4880,0.61,direct
975,4900,0.6,direct
976,4900,0.61,direct
977,4900,0.52,direct
978,4900,0.54,direct
979,4900,0.57,direct
980,4920,0.59,direct
981,4920,0.66,direct
982,4920,0.64,direct
983,4920,0.53,direct
984,4920,0.6,direct
985,4940,0.6,direct
986,4940,0.65,direct
987,4940,0.53,direct
988,4940,0.61,direct
989,4940,0.66,direct
990,4960,0.66,direct
991,4960,0.65,direct
992,4960,0.55,direct
993,4960,0.58,direct
994,4960,0.62,direct
995,4980,0.65,direct
996,4980,0.68,direct
997,4980,0.58,direct
998,4980,0.64,direct
999,4980,0.64,direct
1000,0,0.23,bb
1001,0,0.24,bb
1002,0,0.25,bb
1003,0,0.22,bb
1004,0,0.22,bb
1005,20.07630522,0.21,bb
1006,20.07630522,0.24,bb
1007,20.07630522,0.27,bb
1008,20.07630522,0.25,bb
1009,20.07630522,0.26,bb
1010,40.15261044,0.24,bb
1011,40.15261044,0.24,bb
1012,40.15261044,0.26,bb
1013,40.15261044,0.27,bb
1014,40.15261044,0.27,bb
1015,60.22891566,0.25,bb
1016,60.22891566,0.25,bb
1017,60.22891566,0.25,bb
1018,60.22891566,0.21,bb
1019,60.22891566,0.23,bb
1020,80.30522088,0.23,bb
1021,80.30522088,0.22,bb
1022,80.30522088,0.21,bb
1023,80.30522088,0.25,bb
1024,80.30522088,0.24,bb
1025,100.3815261,0.25,bb
1026,100.3815261,0.25,bb
1027,100.3815261,0.26,bb
1028,100.3815261,0.24,bb
1029,100.3815261,0.2,bb
1030,120.4578313,0.24,bb
